ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0003337	mesenchymal to epithelial transition involved in metanephros morphogenesis	1/3	12/23210	0.00155032055597337	0.0206046482155682	0.00214937060570175	12705	1
GO:0072283	metanephric renal vesicle morphogenesis	1/3	15/23210	0.00193765016916048	0.0206046482155682	0.00214937060570175	12705	1
GO:0000188	inactivation of MAPK activity	1/3	17/23210	0.00219581425248172	0.0206046482155682	0.00214937060570175	75590	1
GO:0090185	negative regulation of kidney development	1/3	17/23210	0.00219581425248172	0.0206046482155682	0.00214937060570175	12705	1
GO:1905331	negative regulation of morphogenesis of an epithelium	1/3	17/23210	0.00219581425248172	0.0206046482155682	0.00214937060570175	12705	1
GO:0060712	spongiotrophoblast layer development	1/3	18/23210	0.00232487959794125	0.0206046482155682	0.00214937060570175	12705	1
GO:0072077	renal vesicle morphogenesis	1/3	18/23210	0.00232487959794125	0.0206046482155682	0.00214937060570175	12705	1
GO:2000696	regulation of epithelial cell differentiation involved in kidney development	1/3	18/23210	0.00232487959794125	0.0206046482155682	0.00214937060570175	12705	1
GO:0060231	mesenchymal to epithelial transition	1/3	19/23210	0.00245393381323988	0.0206046482155682	0.00214937060570175	12705	1
GO:0072087	renal vesicle development	1/3	20/23210	0.00258297689885778	0.0206046482155682	0.00214937060570175	12705	1
GO:0042438	melanin biosynthetic process	1/3	21/23210	0.00271200885527423	0.0206046482155682	0.00214937060570175	12705	1
GO:0072215	regulation of metanephros development	1/3	22/23210	0.00284102968296984	0.0206046482155682	0.00214937060570175	12705	1
GO:0072273	metanephric nephron morphogenesis	1/3	22/23210	0.00284102968296984	0.0206046482155682	0.00214937060570175	12705	1
GO:0006582	melanin metabolic process	1/3	23/23210	0.00297003938242424	0.0206046482155682	0.00214937060570175	12705	1
GO:0008211	glucocorticoid metabolic process	1/3	23/23210	0.00297003938242424	0.0206046482155682	0.00214937060570175	12401	1
GO:0072202	cell differentiation involved in metanephros development	1/3	23/23210	0.00297003938242424	0.0206046482155682	0.00214937060570175	12705	1
GO:0003338	metanephros morphogenesis	1/3	27/23210	0.00348596690742964	0.0211519296431369	0.00220646018088673	12705	1
GO:0044550	secondary metabolite biosynthetic process	1/3	27/23210	0.00348596690742964	0.0211519296431369	0.00220646018088673	12705	1
GO:0030318	melanocyte differentiation	1/3	29/23210	0.003743863912964	0.0211519296431369	0.00220646018088673	12705	1
GO:0070670	response to interleukin-4	1/3	31/23210	0.00400171641897185	0.0211519296431369	0.00220646018088673	12705	1
GO:0070741	response to interleukin-6	1/3	31/23210	0.00400171641897185	0.0211519296431369	0.00220646018088673	12705	1
GO:0035850	epithelial cell differentiation involved in kidney development	1/3	37/23210	0.00477500697823197	0.0220356436546878	0.00229864466762983	12705	1
GO:0000578	embryonic axis specification	1/3	38/23210	0.00490384981166159	0.0220356436546878	0.00229864466762983	12705	1
GO:0072210	metanephric nephron development	1/3	38/23210	0.00490384981166159	0.0220356436546878	0.00229864466762983	12705	1
